type,text
positif,"Kamarnya luas dan bersih. Pelayanannya cepat dan memuaskan, parkir luas. Setiap kali kami ke Semarang pasti menginap di hotel ini. Recommended."
negatif,"Untuk hotel bintang 5 dan review hotel yang bagus di traveloka, tapi tidak sesuai dengan apa yang saya alami. Check in di kamar 1208 kran shower rusak dan saluran air mampet membuat air tergenang. Saya minta teknisi datang, baru diperbaiki. Bantal yang diberikan kempes sekali dan seprei ada robek-robek. Deskripsi hotel yang dilengkapi dengan barang-barang mewah di dalam kamar tampaknya belum sesuai dengan yang saya alami. Semoga pihak hotel mau menanggapi testimoni saya dan berbenah ke depannya."
negatif,"Staff cek in tidak ramah padahal saat saya cek in tengah malam kondisi sudah capek. Siang nya kr saya butuh tempat untuk meeting zoom dengan tim di cafe lounge bawah, pegawai nya menegur tp dengan nada judes karena saya bawa cup of coffee ya starbuck. Paham bahwa saya disitu mesti beli minum or makan, tp ga gitu juga sih negur nya. Saya bukan orang dusun yang ga ngerti etika, cuma karena lagi ribet dan buru-buru, mbok ya nanti dulu. Secara garis besar, the experience to stay buat saya sangat tidak nenyenangkan, meskipun secara kamar oke."
negatif,Gedung bagus dan bersih. Cuma sayang kasur bantal dan selimut sudah sangat tipis. Ginap 2 hari di Gumaya untuk. Hari. Ke 2 sampah di kamar mandi nggak dibuang. Kayak Room Boy. Nya lupa sebab handuk dan. Lainnya ditukar. Trus sprei ranjang ya nggak dirapiin. Semoga ke depannya sudah bisa lebih baik.
negatif,Perabotan kamar serta kamar mandi tidak di bersihkan dengan proper/baik. Masih banyak kotoran bekas penghuni terdahulu (contoh: di pemanas masih ada sisa bihun). Memang pandemic membuat perhotelan bahkan bintang 5 jadi buruk pelayanannya terutama di daerah.
negatif,Pesan sarapan dengan fasilitas room service tidak datang!
negatif,"Pelayanan di hotelnya kurang, karena pada saat check in harus pake surat swab, tetapi ada yang check in tidak bawa surat boleh masuk. Sedangkan mau extend tidak boleh karena harus menunjukkan surat swab lagi. Nggak adil bukan."
negatif,"Staff hotel menyapa setengah hati, makanan juga kurang lengkap. Pelayanan restorannya lama"
negatif,Menu dan kualitas masakan restonya menurun.
negatif,"Untuk ukuran hotel bintang 5 ada beberapa catatan, menurut saya bantal yang tersedia kurang layak, kempes. AC yang saya tempati juga kurang dingin. Untuk yang lain oke banget, staff nya ramah, helpful."
negatif,Hotel tidak senyaman dan ladi makanan terlalu sedikit saat penyajiannya dan kurang bervariasi.
negatif,"Ruangan kamar ada bau rokok di kamar yang non smoking, layanan kamar yang sangat low respond bahkan tidak ditanggapi setelah diangkat telfonnya, dudukan shower yang sudah mau terlepas dari tembok, sendal hotel tidak tersedia di kamar."
negatif,"Ruangan tidak terawat, sprei kotor, lantai juga kotor."
negatif,Receptionist kurang ramah apalagi yang laki-laki. Wifi tidak bisa di gunakan sama sekali dari check in sampai check out. Udah complain sampe 3x cuma bilang mau di reset tapi zonk. Sabun mandi cuma box nya aja dalemnya zonk kayaknya ga pernah di cek.
negatif,"Petugas receptionist tidak ramah dan tidak menawarkan bantuan untuk membawa barang bawaan, kamar sangat kotor, berdebu seperti yang sudah lama tidak dibersihkan, ada kecoa di kamar mandi, sofa sudah terlihat lama dan banyak bekas tersundut rokok. Sangat disayangkan karena tipe kamar apartemen 2 BR sangat cocok untuk keluarga."
negatif,"Kamarnya kotor, lantainya kayak ga dipel, sprei banyak bercak darah juga."
negatif,Tidak bisa late checkout sarapan lumayan variasi kalo untuk kamar lumayan oke cuma wastafel mampet. Pinjem piring mesti bayar.
negatif,"Kebersihan pun kurang.-dengan harga yang saya keluarkan tidak sesuai harapan saya.-info dari pihak hotel sangat minim, alasan banyak tamu, emang saya peduli? Saya di sini kan tamu juga.-kebersihan di tempat breakfast kurang, padahal tempat makan adalah tempat yang paling sensitive buat performance hotel."
negatif,"Sprei kusam, ada bercak-bercak, kamar mandi bau."
negatif,"Kamar enak luass. Tapi pelayanan petugas hotel kurang baik, kurang responsif, Kolam renang lantai pecah-pecah, telpon kamar mati, makanan breakfast kurang variatif, kebersihan kamar kurang."
negatif,Seprai kotor ketika cek in. Ac rusak bocor. Kamar mandi kotor. Teko air rusak.
negatif,"Kamar jorok sepertinya tidak dibersihkan setiap hari, sprei dan bantal bernoda kayaknya ngga diganti bekas tamu sebelumnya, sarung bantal butek, sofanya jorok dan paling parah ditelponnya ada kayak bekas muntahan yang sudah mengering, intinya jorok sekali dan pada akhirnya berselang beberapa menit dari check in langsung pindah hotel."
negatif,Tidak recommended! 1. Seprei lecek seperti bekas pakai. 2. Susah parkir dan akses masuk hotel jalan sempit. 3. Kamar mandi kotor dan kurang penerangan. 4. Kapok menginap di hotel ini.
negatif,"Kamar kurang bersih, linen bernoda dan banyak nyamuk. Harga cukup murah dan ukuran kamar cukup besar tapi penataan kurang nyaman."
negatif,Wastafel kamar 606 mampet dan lambat banget surut nya. Ga pernah di cek kayaknya.
negatif,"Dirty sheets. Sheet kasur kotor. Tbh, kurang paham kenapa ratingnya bisa tinggi. Big no for a 4 stars hotel. I don't recommend this hotel."
negatif,"Wifi tidak lancar, kualitas handuk kurang, akses parkir yang sulit dan terbatas."
negatif,Kamar mandi jorok. Dibawah kasur ada kecoak kecil kecil. Lokasi oke. Tapi saya tidak akan menginap di sini lagi. Maaf sebelumnya. Terima kasih.
negatif,"Sprei kotor sekali seperti bekas, air kran wastafel kecil."
negatif,"Kebersihan kamar kurang, sprei dan sarung bantal banyak noda kotor, dan warnanya sudah bukan putih tapi cream. Airnya berbau, dan kondisi kolam renang tidak terawat, menu sarapan juga dibawah standard untuk sekelas bintang 4, perlu banyak perbaikan."
negatif,Kebersihan kurang yah. Sprei sudah tidak putih lagi meskipun tidak bau.
negatif,"Sprei dan cover bantal kotor, tp bisa minta ganti. Telfon mati, dan tidak bisa pinjam alat makan ke kamar."
negatif,Lokasi hotel bagus tapi kebersihan perlu di tingkatkan.
negatif,"Hotel nya kotor, parkir sempit, tidak ada wahana permainan anak-anak. Kolam renang juga kotor, air untuk mandinya coklat. Bagusnya, kamar nya luas, business class TV nya ada 2. Ada pantry juga. Untuk sarapan lumayan lah."
negatif,"Tempat tidur kurang bersih, dan kurang nyaman."
negatif,"Tempatnya strategis, enak kalk mau kemana-mana, tapi banyak fasilitas yang sudah rusak dan tidak diperhatikan. Contoh, telpon kamar. Kolam fenamg kotor sekali seperti tidak pernah dibersihkan, Kebersihan kamar berdebu. Dan Mbak Mbak di Front office nya buseet judes banget"
negatif,"Kamarnya kurang bersih, mejanya berdebu, parkirnya bayar, sarapan anak suruh bayar."
negatif,"Stafnya kurang ramah saat saya check in, tempat tidurnya saya minta satu malah dikasih yang kecil-kecil dijadiin satu, wastafel mampet, menurut saya kurang bisa menjaga fasilitas aja sih"
negatif,"Kamar jorok, kamar bau, dan sprei juga tidak bersih."
negatif,Saya menginap di sana di pandang rendah sama resepsionalisnya padahal yang datang saya dulu yang dilayani malah orang yang baru datang jelas yang datang saya dulu..
negatif,Recepsionis sampe satpam nya sangat-sangat tidak ramah dan pelayanannya sangat tidak mengenakan. Bener-bener harus di tergur dulu baru di lakuin. Sangat tidak memuaskan sekali. Kalo gak kepepet gak akan mau nginap di situ!
negatif,"Kamarnya sih luas, cuma pengap dan tata letak kamar juga gak enak."
negatif,"Resepsionis kurang ramah, ac kurang dingin, remot tv batrenya habis, toilet agak bau, semoga bisa ditingkatkan lagi."
negatif,Housekeeping masuk kamar sembarangan. Tidak ada privasi menginap di situ.
negatif,"Room kurang nyaman, tembok bekas bocor tidak dibersihkan kesan nya jorok."
negatif,"Tiba-tiba housekeeping masuk setelah mengetuk sekali tanpa ada greeting sama sekali sehingga membuat kaget. Saat ditanya, hanya minta maaf dan ngakunya tidak tau kalau tamu sudah check in, padahal saya check in jam 7 malam."
negatif,"Kamar kotor, dibersihkan asal-asalan, cek in jam 19.30, harus tunggu handuk untuk mandi sampai jam 20.30 baru diantarkan"
negatif,"Kamar cukup nyaman, lainnya kesan buruk. Hampir semua tempat di kamar kotor seperti sofa berdebu, korden dan jendela sangat banyak debu. Staff sama sekali tidak ramah dari housekeeping bertemu tamu berlalu tanpa menyapa, reception jutek."
negatif,"Sprei, selimut dan sarung bantal kotor"
negatif,"Staff hotel ramah tapi sayang kamar mandinya bau, resto yang outdoor bercampur dengan yang merokok sehingga tidak nyaman ketika makan karena kita bawa anak-anak juga."
negatif,Harga murah karena perawatan sudah tidak seperti dulu lagi.
negatif,"Secara harga, sangat ekonomis dengan luas kamar yang seperti apartemen. Namun secara kebersihan bisa ditingkatkan karena banyak serangga kecil. Dari tempat parkirnya banyak, tapi jalanannya kecil."
positif,Kamarnya luas dan nyaman banget. Cocoknya ya buat liburan sama keluarga komplit anak-anak. Lobbynya ada di lantai. 6. Mobil langsung naik aja.
positif,Nyaman banget dan tenang saya suka soalnya privasinya di jaga selama menginap
positif,Roomsnya luas banget. Bersih. Wangi. Ada mini pantry juga. Worth to try dan pasti bakal balik sini lagi. Oh iya waktu itu dapet harga 360k aja buat roomsnya
positif,"Nyaman, cocok untuk keluarga."
positif,"Udah ke 2x nya nginep di sini dan gak kecewa, kamarnya nyaman luas makanannya juga enak pelayanannya juga ramah, sayang pas ini gak sempet berenang. Semoga next bisa kesini lagi"
positif,"Overall bagus, lokasi di tengah kota, ruangan sesuai deskripsi, mencari Makananpun tidak repot, fasilitas bagus, hanya saja ke depannya untuk check in harus bisa online, kadang lama nunggu karena kamar masih penuh ketika check in."
positif,Good kebetulan dapat kamar pas
positif,Cuman beberapa jam saja untuk transit tapi sungguh merepotkan kunci dan kartu akses hanya 1 dan kebersihan mulai berkurang.
positif,"Pelayanan baik, sesuai pesanan, makanan enak, perlu perawatan kolam renang."
positif,Tempat yang asik untuk berbagi moment dan istirahat di tengah kota diwaktu libur.
positif,"Petugasnya ramah, kamar bersih dan nyaman. Anak-anak senang."
positif,Nyaman sesuai harga. Kamar bersih. AC dingin. Resepsionis ramah dan pelayanan cepat tanpa kendala. Makanan di cafee kolam renang tergolong mahal ya. Untuk breakfast fasilitas kamar Maven sangat memuaskan citarasa dan aneka menu nya.
positif,Mantap untuk bekerja. Ruanganya luas. Pemandanganya pas. Ngga terlalu ramai.
positif,"Tempatnya strategis dekat dengan pasar, tempat makan dan kraton. Fasilitasnya paling bagus."
positif,"Nyaman dan murah, sangat direkomendasikan."
positif,Tempat menyenangkan dan tenang
positif,"Hotel nya enak, nyaman, cocok buat bawa keluarga. Saya ambil yang 2 kamar tidur, ada sofa tv dan dapur nya. Sarapan nya juga enak, menu banyak pilihan."
positif,"Saya dan keluarga. Sangat senang, nyaman n privacy tempat luas. Thans traveloka sangat mudah klik hotelnya."
positif,"Buat yang short staycation ga lebih dari 3 hari sih cocok ya, kamarnya luas banget. Fasilitas handuk dan seprai harus lebih diperhatikan, banyak""bercak""sampai harus minta ganti baru diganti. Tapi, so far lokasi, pelayanan dan kesopanan dari pegawainya sih saya acungi 2 jempol."
positif,"Pas buat liburan keluarga, mantap kamar bersekat sekat"
positif,"Pelayanan memuaskan, kamar besar, semua berfungsi baik. Anak-anak suka sekali menginap di sini. Tidak horor, cocok untuk yang bawa bayi."
positif,"Ruangan bersih, cukup nyaman bersama keluarga. Harus bawa alat makan sendiri karena di kamar tidak tersedia."
positif,"Room dan kasurnya besar dan luas banget, so comfy. Nice service, at first its a lil bit dirty but then setelah minta tolong langsung dibersihkan. Thankyou."
positif,Kamar yang saya tempati berseliweran anak kecoa beberapa. Entah karena jarang ditempati atau alasan lain. Internet wifi jelek.
positif,Recommended banget cuma di pelayanannya di lobi mbaknya yang jaga cuma welcome dan baik sama orang orang yang keliatan kaya raya yang berduit banyak. Padahal tamu semua sama kan. Kecewa banget di bagian pelayanan di lobi. Jangan mandang orang cuma dari penampilan luarnya aja.
positif,Hotel ternyaman terluas terfavorit.
positif,"Kamar bersih dan luas. Wangi, nyaman, saya liburan bersama keluarga, dan sangat menikmati apartemen ini. Recommended untuk wisata keluarga"
positif,Kebersihan cangkir kurang. Buah yang tersedia hanya melon (saat makan pagi)
positif,"Lokasi strategis, kamar yang saya tempati hanya kurang beruntung karena wifi jelek."
positif,"Oke banget asli, ruanganya luas"
positif,"Luas, nyaman, check in cepat, AC dingin, tp beberapa furniture udah rusak seperti sofa n tv. Tp selebihnya menyenangkan."
positif,"Kamar lebar, nyaman, fasilitas dalam kamar sesuai"
positif,"Nyaman, fasilitas lengkap, cukup bersih. Rekomen untuk yang butuh staycation."
positif,Harga terjangkau untuk kamar yang luas dan kasur yang cukup nyaman. Tapi masih sama saja seperti kamar-kamar lain yang pernah saya tinggali sebelumnya. Kamar banyak debu terutama di gorden dan sofa yang seperti tidak pernah dibersihkan
positif,"Hotel dengan luas ruangan yang sangat menyenangkan, mungkin perlu diperhatikan peremajaan perlangkapan kamar seperti, sofa, handuk, kran air, kualitas wifi dan lain-lain. Terima kasih."
positif,"Menyenangkan, semua staff ramah"
positif,"Kamar luas lokasi dekat kota, rekomendasi untuk inap dengan keluarga"
positif,"Hotel Bersih, cuma air di kamar mandi agak berbau. Breakfast Banyak menunya, staff ramah"
positif,"Enak untuk kerja, cari makan juga deket tidak ramai suasana"
positif,"Lokasi strategis, kasurnya king, besar & nyaman, kolam renangnya sangat nyaman & bersih. Pemandangan dari kolam renang bagus."
positif,"Saya menginap bersama keluarga, ukuran kamar cukup luas untuk kami ber 4 dengan ranjang twin berukuran 130 cuma. Kolam renang di rooftop nya juga mantap. Breakfast nya kurang variasi. Ketika meminta extra handuk, katanya handuk baru ready jam 7 malam. Agak mengecewakan. So far pelayanan yang lain nya oke. Terima kasih."
positif,Ac nya kurang dingin. Handuknya uda harus diganti. Kamar bersih n dapet high floor dengan city view. Mantep.
positif,Secara keseluruhan ok. Sarapan kurang bervariasi.
positif,Check in cepat kamar bersih dan alat fitnes terawat dan berfungsi baik.
positif,Masa pandemi tapi nyaman dan aman. Hotel sangat terjaga dari covid. Makasih yaa
positif,"Kamar tidur luas, bersih & rapih. Kamar mandi nyaman. Kolam renang bagus, anak-anak suka. Parkir luas. Minusnya menu makanan sangat terbatas untuk hotel * 4."
positif,"Lokasi Sangat strategis, bersih, nyaman kasurnya luas, cuman handuk sudah waktunya diganti."
positif,Nyaman homey. Yang pling penting prokes ketat. Menu breakfast kurang beragam. Staf sopan dan ramah
positif,"Hotel tengah kota, dekat keramaian, cuma receptionist kurang ramah, minta air minum harus bayar lagi 15rb per botol."
positif,"Bersih dan nyaman, parkiran luas, kamar luas, furniture keren, view oke, lobby agak kecil."
positif,"Puas bangett. Pelayanan bagus, hotelnya pun bagus."
positif,"Lokasi baik tengah kota, pool keren, amenesty beda dengan Louis pemuda yang lebih lengkap"
positif,Menyenangkan kamar luas dan bersih.
positif,"Tempat parkir memadai, kamar hotel luas dan bersih, breakfast bisa diperbanyak menu nya, pelayanan baik."
positif,"Kamar bersih wangi, seprai bersih, toilet bersih, petugas ramah-ramah, parkir luas. Sayang aja menu sarapan kurang variatif. Menyenangkan"
positif,"Pelayanan dan tempat yang bagus dan strategis di tengah kota, kamar bersih dan nyaman."
positif,Pelayanan bagus makanannya enak
positif,"Ramah bersih, sangat ketat dalam proses jadi kita merasa aman."
positif,"Dua kali menginap di sini, kamarnya luas, kasur besar, kamar mandi bersih, air deras, cuma sayang kemarin karpetnya terasa berdebu, besok diperbaiki ya."
positif,Pelayanan bagus. Sopan-sopan intinya tidak mengecewakan terima kasih untuk pelayanannya
positif,"Kamarnya luas dan bersih, cocok buat bawa anak2.. dekat dg pusat oleh-oleh juga.. highly recommended.."
positif,"Ga perna berubah, mantep pokoknya. Selalu pengen kembali lagi dan lagi ke sini. Tapi cuma 1 saran aja untuk masakan semenjak pandemi rasanya sedikit menurun, mungkin bisa diperbaiki lagi seperti dulu rasa makanannya. Thank you."
positif,"Alhamdulillah sangat ok jambre dan luar biasa, trims yee."
positif,"Kamar luas wangiii dan istimewaaa, recommended sekali"
positif,"Hotel bersih dan nyaman, parkir luas dan pelayanan ramah."
positif,"Tempat nyaman, bersih dan pelayanan harus lebih menghormati konsumennya dalam bertutur kata, Secara lokasi dekat degan pusat oleh-oleh kas semarang yang letaknya di jalan pandanaran."
positif,"Menyenangkan bisa menginap kembali disini, proses check-in cepat dan lancar, kualitas bed seperti biasa.. excellent, kondisi kamar bersih, breakfast lengkap dengan rasa yang enak, bila ke Semarang pasti menginap disini lagi."
positif,Kesekian kalinya ke hotel ini dan sangat menyenangkan.
positif,"Hotel yang sangat baik, berada di pusat kota Semarang, fasilitas yang didapat lumayan lengkap dan pelayannya juga ramah, Untuk kamar sangat luas dan pemandangannya bagus."
negatif,Lokasi bagus Hotel untuk view dri rooftop juga bagus. Cuma Gak ada smoking room dan Harus Ke atas rooftop untuk merokokNya jadi Kalo untuk perokok memang kurang nyaman. Terima kasih
negatif,"Handuk mandi yang sudah kusam dan sobek, yang seharusnya untuk hotel sekaliber bintang empat, sudah tidak dipakai, namun tetqp disajikan untuk tamu-tamunya. Jumlah menu sarapan terbatas, mulai masuk ruang sarapan sampai berakhirnya teh, kopi, dan buah tidak diisi, sedangkan menurutbresepsionis kapasitas keterisian kamar. Penuh."
negatif,"Tidak ada sandal di kamar, lantai kamar mandi licin."
negatif,Sarapan nya menu nya sedikit dan kurang enak.
negatif,"Lokasi dan kamar hotelnya sebenernya bagus. Hanya saja, handuk yang dikasih udah robek-robek, sarung bantalnya juga nyucinya masih kotor, poolnya tidak disediakan handuk, dan kolam yang mirip-mirip jacuzzi juga lagi dibersiin jadi gak bisa dipake. Makanan di restonya untuk anak dibwh 10tahun harus bayar lagi, variasinya dikit banget jika dibanding harga kamarnya, rasanya pun sangat standar. Mohon diperbaiki saja."
negatif,Pengalaman pertama kali menginap di sini. Juga terakhir kali. Managemen tidak bertanggung jawab. Di hotel lain kaos kaki ketinggalan saja bisa dikirim balik. Di hotel ini baju dibilang hilang. Karyawan hotel malah ngotot kalau sudah hilang mau diapain. Pikir pikir lagi deh yang mau stay di sini.
negatif,"Sarapannya sih kurang memuaskan, pilihannya terbatas dan bener-bener jauh dari ekspetasi makanan hotel. Rasanya hambar bahkan udah agak kaku gitu nasinya pas diantar kaya udah dimasak lama banget. Pilihan minumnya cuma teh sama kopi yang mana itu ada juga di kamar."
negatif,"Breakfastnya mengecewakan, rasa masakannya hambar, ga dikasih buah padahal dari resepsionis menginfokan dapat buah, ngantarnya terlambat dari jam request dan makanan diantar dalam keadaan dingin dan agak kering jadinya."
negatif,"Bed tidak bersih, agak gatal saat digunakan. Terasa ada pasir halus. Bathroom awalnya tidak tersedia sabun mandi dan tong sampah, mesti minta dahulu. Drain bathroom masih tersisa bekas tissue. Dalam kamar tidak tersedia sandal, mesti minta dahulu."
negatif,Sarapan hotel bintang 4 rasa bintang 2:( baru kali ini sarapan di hotel bintang 4 tapi menunya dikit dan biasa banget rasanya
negatif,"Kamar berdebu, dapat kamar yang perabotnya rusak (tempat sampah penyok, kap lampu sobek, tempat masak air tutup lepas), sprei bernoda (saya menginap 3 hari, sprei hanya dirapikan, tidak diganti). Makan pagi diantar ke kamar minimalis sekali."
negatif,"Kolam renang di buka pkl. 16.00. Alasannya pembatasan. Kalau pembatasan kan harusnya orangnya. Bukan jamnya. Anak-anak sudah siap mau berenang, ternyata repot urusannya. Kamar enak tapi flush untuk WC airnya kecil. Yang lainnya sih oke. AC kamar dingin. Kasur gede."
negatif,Sekelas bintang 4 tapi biasa banget
negatif,"Jam 2.30 malam, tiba-tiba ada orang berteriak-teriak laki dan perempuan, dinding tembok sangat berisik terdengar kegiatan dari ruang sebelah."
negatif,"Kamar pertama AC tidak dingin lalu pindah. kamar kedua terletak dipojok kebersihannya kurang banget. langit2 ada bekas bocor jamur warna hitam. Lift sering basah karena tamu habis berenang mungkin. Tp karyawan ramah sih,"
negatif,"sangat krg puas , ribet..sandal aja g disediakan ...by request..kantong plastik untuk /loundry bag g dsediain juga dkmr...hrs dminta dulu jd ribet bagi saya harus hubungi dulu baru dikasih itu pun lama dtgnya dipakai tidak dipakai hrusnya disediakan aja d setiap kmr..makanan krg puas..terkesan ngirit bgt,krn covid makanan d anter k kamar tapi lauknya ayam cuma dikit potongan nya, nasi grg nya g pake telor mati sapi atau telor utuh..cuma irisan dikit bgt.. mau berenang sama gym harus ditentuin jam nya sdgkn kita g tau kalau org lg menginap d hotel bisa kapan aja g trpaut waktunya"
negatif,"Kerapian, kebersihan kamar perlu ditingkatkan dan keamanan utk barang pengunjung perlu diperhatikan lg."
negatif,"Liftnya bunyi-bunyi aneh, agak lama apalagi pas waktu-waktu breakfast dan check-out, parkir no valet, sendal tidak ada, plastik laundry tidak ada, tapi taste enak kec sosis, pool tidak ada towel disuruh bawa dari kamar."
negatif,"Lantai kamar mandi mampet, airnya menggenang lama. selang shower bocor. Ditawarkan pindah kamar tp kami pilih utk tetap tinggal di kamar yg lama karena enggan bertemu byk orang dan sudah lelah. menu sarapan sangat minim dan rasa kurang. agak mengecewakan utk hotel dengan rate kamar yg lumayan mahal"
negatif,"Stafnya ramah dan membantu, kamar bagus dan bersih, hanya exhaust tidak menyala sehingga bau asap rokok tidak bisa cepat hilang (saya pesan smoking room). Ini nih yang parah handuk hotel benar benar kucel (handuk lama dan bolong-bolong)."
negatif,"Menu TV sulit, teko pembuat air panas rusak, lift mengeluarkan bunyi-bunyi aneh."
negatif,Penjaga kolam renangnya kurang ramah.
negatif,"Kolam renang dengan waktu yang sangat singkat, hmm menyebalkan sekali."
